Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2021-01-01,84.98641094918777,85.39111293621677,84.76157922259429,85.21124267578125,3074621,71.11098098708979,71.64194066364948,70.54209313919307,70.69379425048828,15130377
2021-01-04,85.4360888850107,85.61595917593681,84.53676182618803,84.7391128540039,7133203,71.33852852349288,73.80370885499973,71.07304293509472,73.53822326660156,39545073
2021-01-05,85.21124599954695,85.21124599954695,83.72735898572958,84.53675079345703,10478882,73.19690600119596,73.19690600119596,71.56609294842718,72.02120208740234,26998014
2021-01-06,84.53676756394101,88.85353895907194,84.08710400400972,88.20153045654297,54265234,75.01733493772105,75.32074290515779,73.00726366385649,73.53822326660156,50306161
2021-01-07,89.03339153774313,90.74211028573524,87.90923286170856,88.60620880126953,40129922,74.334685401259,75.13113077394041,73.65201876567878,74.25883483886719,25285200
2021-01-08,89.3706325286792,91.73136557369857,88.83103396452306,91.52901458740234,29487917,75.05525937114409,76.83777905849078,74.75185718242838,76.34474182128906,36022114
2021-01-11,91.73136557369857,92.18102901084512,90.58472014960445,91.52901458740234,12726089,76.98948914230431,78.05141428787933,74.37260734341096,77.78593444824219,36301647
2021-01-12,90.4048591344188,92.06861634922585,89.91022811658826,91.59646606445312,31454127,77.36875737403682,79.26505044692988,76.42061083759029,78.4686050415039,28353142
2021-01-13,91.64143928662502,92.90050069145762,91.101840670418,92.18103790283203,23792586,79.60638111441965,81.84401041909172,78.96164262518529,79.83393859863281,42401579
2021-01-14,92.6082130970422,93.30519514028737,91.5515027146036,92.22599792480469,12024674,81.16134197160399,81.5026724034027,79.03749145566707,79.68223571777344,24455634
2021-01-15,91.70888439592426,92.51828229205432,91.05687603123872,91.28170776367188,13530190,79.83393285651374,80.47867129937477,76.34475500071281,76.91364288330078,28185982
2021-01-18,90.494801407081,90.83204902327209,87.48205359619338,88.02165222167969,26118654,76.91364069113527,77.25497109614885,72.8555750684079,73.31068420410156,33623461
2021-01-19,87.93170825336585,89.93271301471701,87.79681166001781,89.77532958984375,19382828,74.14503504505271,75.09318127325031,73.95540579941319,74.41051483154297,26085121
2021-01-20,89.93273638206894,90.20252963886583,87.75186689661167,88.20153045654297,21158179,75.09319461856384,75.70001062726178,74.22089877619547,74.97941589355469,18486566
2021-01-21,88.33642172512717,88.8985011409371,87.30219803961766,87.75186157226562,12509109,75.13112779636086,76.00341790983671,71.22476322421565,71.83157348632812,26939349
2021-01-22,87.68439566819127,88.26895570376021,86.78506878334626,87.32466125488281,16720401,71.75571828092652,72.40045667449992,70.16283348885509,70.35246276855469,27311961
2021-01-25,87.43709386104113,88.49380437290054,85.2562245278317,85.5260238647461,9393599,70.58001749759813,71.11097714547388,68.26653805965493,69.29053497314453,28522112
2021-01-27,85.4360722841925,87.3921094768507,85.12131153413591,86.49278259277344,18874916,69.32846883641415,69.59394868215601,67.43217595679137,68.03898620605469,34022621
2021-01-28,85.86327076723097,85.86327076723097,83.54750483510414,84.22200012207031,16072463,67.50802054289137,69.32846270370041,67.3563194407515,68.75957489013672,26810222
2021-01-29,84.85152243373079,84.98641904295353,82.2884380668869,82.9404525756836,13415015,68.8354228844502,70.50415809411136,66.5598717147163,66.97705841064453,33858273
2021-02-01,82.94045460985566,85.18877214505274,82.06360833154814,84.94145965576172,9485240,67.50802228539042,69.17675760010643,67.0908355631983,68.9112777709961,24228098
2021-02-02,85.88573579955049,87.97667568597575,85.07634404277029,87.32466125488281,10803602,70.16282677083508,71.26267417297299,69.17675229600222,70.42830657958984,22141489
