Price,Close,High,Low,Open,Volume
Ticker,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS
Date,,,,,
2021-01-01,26.54250717163086,26.814908860324437,26.41456264147183,26.62092641210833,84113960
2021-01-04,28.602018356323242,28.886798203507194,26.68076910831449,26.78601664104126,381849550
2021-01-05,28.088171005249023,28.63709935291545,27.86323526653418,28.354378865465325,215452540
2021-01-06,28.222309112548828,28.75266553283949,27.85910999728542,28.230565427021492,196105220
2021-01-07,29.831945419311523,30.191019504660296,28.548362546747786,28.60201914101737,382321940
2021-01-08,29.433666229248047,30.01561043720893,29.018873026320346,30.005291618688997,193293130
2021-01-11,28.71139144897461,29.386198689040896,28.40390830749561,29.386198689040896,170245090
2021-01-12,28.680435180664062,29.902108291713397,28.523599852839617,28.684563337645567,245254840
2021-01-13,29.26857566833496,29.49144893143918,28.602021532119924,28.950773679721724,193538710
2021-01-14,29.153011322021484,29.48731962926766,28.771237079432932,29.303655995811745,115408580
2021-01-15,29.13443374633789,29.778290810387517,28.793934806311864,29.38619778217159,206884370
2021-01-18,27.516544342041016,29.25206440384411,27.219380009358773,29.22111109788189,250452260
2021-01-19,28.110872268676758,28.228497977103324,26.703469882503413,27.73528870561191,312451180
2021-01-20,28.484394073486328,28.870293358457225,28.172785879891492,28.48439407348633,233131500
2021-01-21,27.516544342041016,28.674245217946545,27.30605556377546,28.51947239041298,161178670
2021-01-22,26.703472137451172,27.892129537318272,26.15248279167741,27.65274679441599,237156650
2021-01-25,26.90777015686035,27.316369514154438,26.043105510968854,26.868560539201535,163484730
2021-01-27,25.83674430847168,26.874753857196694,25.74594531700125,26.86443503855132,149180840
2021-01-28,25.741817474365234,26.026600498378816,25.28368963089181,25.506562891137914,170917520
2021-01-29,24.80492401123047,26.158671385046077,24.598560245498334,26.003898560746975,268265750
2021-02-01,26.253599166870117,26.414562656147115,24.65840652621426,24.965889678223522,210846940
2021-02-02,26.482662200927734,26.744745062779444,25.758324948749557,26.53838129886559,180489570
2021-02-03,26.957300186157227,27.417490509927383,26.301061762500453,26.616798077560382,148463810
2021-02-04,27.072864532470703,27.384472703578123,26.356781971091365,26.992382785026464,147649950
2021-02-05,28.27389907836914,28.502962989706223,26.885071783811433,27.112073191032415,291008880
2021-02-08,29.012680053710938,29.09316179357683,28.17690620195834,28.643290311470324,214621690
2021-02-09,28.857908248901367,29.569862611019627,28.544237592118062,29.15920073241771,293370280
2021-02-10,28.48851776123047,29.90210763106259,28.067533926530515,29.303653985273968,573979190
2021-02-11,28.67218017578125,29.080779522619597,28.183099091704122,28.37914402612054,163407050
2021-02-12,28.086111068725586,28.804256124854483,28.003563669315685,28.684564757356114,147054790
2021-02-15,27.74148178100586,28.395657742787936,27.652746865949208,28.358510624515286,131716720
2021-02-16,28.857908248901367,29.24587313617582,27.5825816879248,27.741479520384082,336618380
2021-02-17,28.75885009765625,29.035376745503743,28.37501342644231,28.79393155457475,159574830
2021-02-18,28.798063278198242,29.344925981522525,28.64329045851842,28.89092634023392,148561470
2021-02-19,27.6816349029541,28.725835034638614,27.072862434953247,28.725835034638614,223923860
2021-02-22,28.253263473510742,28.80425434140362,27.687825630792634,27.772435529126064,281491090
2021-02-23,30.100217819213867,30.376744498760544,28.15627159985723,28.4616890795228,389070710
2021-02-24,30.034177780151367,30.748197716654317,29.716379001330345,30.33547023052473,216767890
2021-02-25,30.661529541015625,31.078385241040888,30.209592377705945,30.343727569608802,219015960
2021-02-26,29.516210556030273,30.607876691720083,29.349056401703425,29.92274744564903,235515910
2021-03-01,30.14562225341797,30.46961176020921,29.35937673214091,29.88147685910078,140586460
2021-03-02,30.356109619140625,30.531516921568798,29.846390892396922,30.147680211325785,111133990
2021-03-03,32.07511901855469,32.29592976224836,30.58310985435049,30.58310985435049,288428350
2021-03-04,31.282682418823242,31.652075321986562,30.69248192424809,30.995836911077415,228738220
2021-03-05,30.265310287475586,31.202200387549713,30.00528993039344,30.892654742536596,168819600
2021-03-08,30.42833709716797,31.004093775811118,30.337536535026313,30.704863791791226,106145960
2021-03-09,29.169519424438477,30.99377435019509,28.983790146735473,30.748200966177627,195564380
2021-03-10,29.902111053466797,30.12704997124734,29.016811805267984,29.505892965898965,196858600
2021-03-12,29.714319229125977,30.748200543335372,29.468745848485586,30.541836781299565,161214090
2021-03-15,30.39325523376465,30.50056527386885,29.51208107041713,29.798926579478206,155429990
2021-03-16,29.88353729248047,30.545966385500435,29.68336418191257,30.545966385500435,125699980
2021-03-17,29.072526931762695,29.964016719626326,28.917754114875308,29.92068209426003,105409590
2021-03-18,29.09109878540039,29.836072066677982,28.82076277025047,29.56160789474824,143206510
2021-03-19,30.252931594848633,30.407704430806874,28.11706519908035,29.004430088346545,246378140
2021-03-22,30.686290740966797,30.775028795922776,29.92274545230099,30.17450949353269,137603700
2021-03-23,30.58930015563965,30.931864762961506,30.265310680394197,30.789473260589098,118738960
2021-03-24,29.00649070739746,30.2529296286691,28.847589724459667,30.170382232206062,210302830
