Price,Close,High,Low,Open,Volume
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Date,,,,,
2021-02-18,85.40847778320312,89.11182886998809,79.73772621419401,80.00776088199173,110000964
2021-02-19,81.087890625,86.56575844674843,80.12347706883607,85.40846217935173,48225988
2021-02-22,82.01374816894531,83.74969292983378,81.242217164106,81.7051345897467,36592043
2021-02-23,86.56576538085938,88.26313690745904,84.44405538734505,84.67551701389026,90860972
2021-02-24,87.64591979980469,88.99609904020846,85.63994039132481,87.95453337487413,26071364
2021-02-25,91.85076141357422,92.96947892999042,88.99609338352056,89.49758967534348,62038881
2021-02-26,85.63993072509766,91.34926061736691,84.90697871756149,89.11181980854757,55154985
2021-03-01,90.30770874023438,90.77062617750735,87.56877124970457,88.18599842361158,41672980
2021-03-02,87.56875610351562,89.99907958673494,86.99010793543071,89.42043141865004,36303917
2021-03-03,87.95452880859375,89.3432868811498,87.33730169049905,87.99310771084244,19434630
2021-03-04,86.9515380859375,90.26912361609752,86.64293040655774,87.9159517997847,38272786
2021-03-05,88.68746948242188,91.23352366001745,87.56875209650724,89.69046194906578,57756103
2021-03-08,91.23353576660156,94.39681151655284,90.42342590632599,91.7736050825759,63866178
2021-03-09,90.07622528076172,92.23651398035022,88.10881929055387,92.1207831774592,26817643
2021-03-10,88.26313781738281,90.2691170183046,87.64591073110822,90.19196510409871,23841269
2021-03-12,88.76464080810547,90.57773741759546,87.95453093183916,90.07624110782652,20691698
2021-03-15,88.22456359863281,90.15339098769917,87.02869414920009,89.49759085267942,19679802
2021-03-16,88.80320739746094,89.72904802994137,87.53018020674645,87.80022073683269,20680669
2021-03-17,84.36690521240234,88.61032528687109,83.9039878360867,88.57175227252785,31017863
2021-03-18,85.022705078125,86.56576691900796,82.93957394745854,84.86840124856222,26710696
2021-03-19,85.25416564941406,87.37587565426374,80.5864012842193,81.97515927828276,50386785
2021-03-22,84.55978393554688,85.83281107481811,83.74968003696591,85.25416291026878,15825065
2021-03-23,82.6695327758789,85.0998561606604,82.2451884486122,84.55978102720155,15815643
2021-03-24,80.8564453125,81.78228009108099,79.35195643941344,81.01074914682552,31083656
2021-03-25,78.6961441040039,83.09386744940831,78.15607488134478,81.78226740220013,37295495
